,FC=0;CR=0,FC=0;CR=0.1,FC=0;CR=0.2,FC=0;CR=0.3,FC=0;CR=0.4,FC=0.4;CR=0,FC=0.4;CR=0.1,FC=0.4;CR=0.2,FC=0.4;CR=0.3,FC=0.4;CR=0.4,FC=0.8;CR=0,FC=0.8;CR=0.1,FC=0.8;CR=0.2,FC=0.8;CR=0.3,FC=0.8;CR=0.4
,n=200,,,,,,,,,,,,,,
Wm_str.pos.def,0.962,0.897,0.439,0.013,0,0.955,0.894,0.404,0.006,0,0.949,0.899,0.398,0.006,0
Wcm.obs_str.pos.def,0.861,0.789,0.376,0.011,0,0.862,0.777,0.345,0.005,0,0.841,0.79,0.331,0.006,0
Wcm.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wcm.obs_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wm_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WmB_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.obs_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
fit.base.compos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
fit.base.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_str.great.zero,0.999,0.997,0.992,0.979,0.977,0.999,0.999,0.992,0.974,0.977,1,0.999,0.992,0.96,0.966
kb.obs_str.great.zero,0.981,0.969,0.982,0.979,0.993,0.982,0.97,0.975,0.978,0.991,0.971,0.98,0.978,0.986,0.984
k.obs_str.k.less.kb,0.69,0.666,0.709,0.714,0.874,0.655,0.664,0.677,0.719,0.862,0.677,0.676,0.683,0.679,0.817
k.obs_str.k.less.chi,0.595,0.76,0.948,0.976,0.995,0.599,0.788,0.963,0.983,0.996,0.593,0.756,0.97,0.972,0.988
kb.obs_str.kb.less.chiB,1,0.993,0.995,0.998,0.999,1,0.996,0.999,0.999,0.999,0.997,0.997,1,1,1
k.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,0.99,0.982,0.982,0.973,0.941
k.obs.nonn_str.k.less.kb,1,1,1,0.997,0.986,0.997,0.995,0.99,0.963,0.88,0.48,0.413,0.304,0.236,0.117
k.obs.nonn_str.k.less.chi,0.727,0.96,1,1,0.23,0.718,0.959,1,1,0.212,0.694,0.948,1,1,0.18
kb.obs.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp_str.great.zero,0.985,0.981,0.901,0.816,0.705,0.989,0.976,0.905,0.817,0.7,0.981,0.974,0.896,0.792,0.694
kb.exp_str.great.zero,0.493,0.46,0.435,0.442,0.45,0.503,0.449,0.466,0.45,0.437,0.525,0.473,0.45,0.47,0.473
k.exp_str.k.less.kb,0.413,0.363,0.342,0.375,0.4,0.427,0.378,0.365,0.35,0.387,0.435,0.376,0.354,0.406,0.422
k.exp_str.k.less.chi,0.761,0.936,0.945,0.429,0.639,0.769,0.955,0.954,0.425,0.639,0.778,0.948,0.943,0.433,0.61
kb.exp_str.kb.less.chiB,0.875,0.89,0.937,0.923,0.94,0.873,0.902,0.942,0.917,0.929,0.866,0.893,0.936,0.896,0.929
k.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp.nonn_str.k.less.kb,1,1,1,1,0.97,1,1,1,1,0.963,1,1,1,1,0.969
k.exp.nonn_str.k.less.chi,1,1,0.435,0.398,0.746,1,1,0.427,0.391,0.703,1,1,0.452,0.345,0.467
kb.exp.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,0.999,0.999,1
k.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.chi,1,0.607,0.768,0.98,1,1,0.613,0.777,0.982,1,1,0.598,0.761,0.975,1
kb.obs_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.chi,0.614,0.8,0.991,1,1,0.614,0.786,0.983,1,1,0.598,0.815,0.982,1,1
kb.obs.nonn_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cfi.obs_str.pass.5,0.424,0.513,0.681,0.692,0.85,0.402,0.542,0.655,0.692,0.838,0.418,0.521,0.667,0.639,0.784
cfi.obs.nonn_str.pass.5,0.727,0.96,1,0.997,0.229,0.715,0.954,0.99,0.963,0.186,0.338,0.392,0.304,0.236,0.024
cfi.exp_str.pass.5,0.227,0.235,0.214,0.083,0.116,0.237,0.258,0.252,0.066,0.099,0.238,0.251,0.229,0.086,0.101
cfi.exp.nonn_str.pass.5,1,1,0.435,0.398,0.746,1,1,0.427,0.391,0.703,1,1,0.452,0.345,0.467
cfi.obs_unstr.pass.5,1,0.607,0.768,0.98,1,1,0.613,0.777,0.982,1,1,0.598,0.761,0.975,1
cfi.obs.nonn_unstr.pass.5,0.614,0.8,0.991,1,1,0.614,0.786,0.983,1,1,0.598,0.815,0.982,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0.009,0.006,0.005,0.005,0,0.003,0.003,0.004,0.004,0.001,0.001,0.001,0.002,0.002
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.006,0.014,0.062,0.072,0.079,0.011,0.025,0.056,0.082,0.085,0.014,0.018,0.054,0.092,0.092
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.412,0.238,0.02,0,0,0.419,0.233,0.031,0,0,0.391,0.242,0.024,0,0
cfi.uncor.fimlc.equal.one,0.008,0.001,0,0,0,0.009,0.002,0,0,0,0.008,0.003,0,0,0
cfi.cor.obs_str.equal.one,0.405,0.225,0.03,0.024,0.005,0.41,0.212,0.037,0.013,0.004,0.38,0.221,0.03,0.026,0.011
cfi.cor.obs.nonn_str.equal.one,0.446,0.286,0.026,0,0.005,0.487,0.289,0.045,0,0.01,0.475,0.345,0.035,0,0.011
cfi.cor.exp_str.equal.one,0.941,0.875,0.549,0.214,0.076,0.935,0.88,0.525,0.195,0.076,0.932,0.879,0.519,0.215,0.108
cfi.cor.exp.nonn_str.equal.one,0.421,0.245,0.019,0,0.026,0.44,0.23,0.034,0,0.034,0.394,0.244,0.026,0,0.034
cfi.cor.obs_unstr.equal.one,0.407,0.219,0.014,0,0,0.413,0.204,0.023,0,0,0.381,0.222,0.018,0,0
cfi.cor.obs.nonn_unstr.equal.one,0.378,0.194,0.009,0,0,0.386,0.184,0.018,0,0,0.362,0.185,0.015,0,0
,n=500,,,,,,,,,,,,,,
Wm_str.pos.def,1,1,0.962,0.024,0,1,1,0.968,0.036,0,1,1,0.964,0.025,0
Wcm.obs_str.pos.def,1,1,0.959,0.023,0,1,1,0.961,0.035,0,1,1,0.96,0.025,0
Wcm.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wcm.obs_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wm_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WmB_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.obs_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985
fit.base.compos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985
fit.base.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_str.great.zero,1,1,1,0.996,0.979,1,1,1,0.997,0.973,1,1,0.999,0.998,0.966
kb.obs_str.great.zero,0.973,0.97,0.987,0.993,0.994,0.971,0.969,0.981,0.994,0.991,0.971,0.969,0.988,0.989,0.991
k.obs_str.k.less.kb,0.732,0.78,0.888,0.91,0.858,0.73,0.807,0.895,0.909,0.874,0.706,0.762,0.877,0.906,0.836
k.obs_str.k.less.chi,0.523,0.919,1,1,1,0.517,0.917,1,0.999,0.996,0.508,0.912,0.999,1,0.997
kb.obs_str.kb.less.chiB,0.999,0.999,0.999,1,1,0.999,1,1,1,1,0.999,1,1,1,1
k.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,0.999,1,1,0.999,0.997
k.obs.nonn_str.k.less.kb,1,1,1,1,0.999,1,1,1,0.999,0.983,0.529,0.448,0.281,0.16,0.051
k.obs.nonn_str.k.less.chi,0.902,1,1,1,0.145,0.888,1,1,1,0.124,0.887,1,1,1,0.124
kb.obs.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp_str.great.zero,1,1,0.984,0.831,0.715,1,1,0.983,0.841,0.695,1,1,0.985,0.816,0.714
kb.exp_str.great.zero,0.518,0.499,0.433,0.484,0.516,0.501,0.479,0.474,0.464,0.504,0.507,0.511,0.473,0.525,0.502
k.exp_str.k.less.kb,0.471,0.439,0.377,0.394,0.464,0.464,0.424,0.369,0.41,0.443,0.459,0.449,0.39,0.462,0.433
k.exp_str.k.less.chi,1,1,0.999,0.426,0.637,1,1,0.996,0.426,0.637,1,1,0.995,0.503,0.563
kb.exp_str.kb.less.chiB,0.918,0.935,0.969,0.96,0.965,0.905,0.929,0.956,0.949,0.961,0.905,0.937,0.956,0.942,0.962
k.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp.nonn_str.k.less.kb,1,1,1,1,0.996,1,1,1,1,0.989,1,1,1,1,0.991
k.exp.nonn_str.k.less.chi,1,1,0.39,0.587,0.991,1,1,0.379,0.589,0.984,1,1,0.385,0.591,0.86
kb.exp.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.chi,1,0.51,0.905,1,1,1,0.509,0.904,1,1,1,0.496,0.904,1,1
kb.obs_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.chi,0.543,0.928,1,1,1,0.534,0.921,1,1,1,0.521,0.925,1,1,1
kb.obs.nonn_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cfi.obs_str.pass.5,0.395,0.717,0.887,0.906,0.837,0.371,0.745,0.895,0.906,0.847,0.35,0.704,0.876,0.904,0.803
cfi.obs.nonn_str.pass.5,0.902,1,1,1,0.145,0.888,1,1,0.999,0.121,0.462,0.448,0.281,0.16,0.012
cfi.exp_str.pass.5,0.389,0.374,0.337,0.098,0.154,0.369,0.353,0.315,0.107,0.13,0.364,0.386,0.335,0.134,0.1
cfi.exp.nonn_str.pass.5,1,1,0.39,0.587,0.991,1,1,0.379,0.589,0.984,1,1,0.385,0.591,0.86
cfi.obs_unstr.pass.5,1,0.51,0.905,1,1,1,0.509,0.904,1,1,1,0.496,0.904,1,1
cfi.obs.nonn_unstr.pass.5,0.543,0.928,1,1,1,0.534,0.921,1,1,1,0.521,0.925,1,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0.005
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.031,0.062,0.054,0.046,0.049,0.032,0.068,0.055,0.054,0.048,0.031,0.052,0.052,0.057,0.05
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.486,0.113,0,0,0,0.48,0.102,0,0,0,0.503,0.095,0,0,0
cfi.uncor.fimlc.equal.one,0.009,0.002,0,0,0,0.009,0,0,0,0,0.009,0,0,0,0
cfi.cor.obs_str.equal.one,0.477,0.085,0,0,0,0.472,0.083,0,0.001,0.004,0.494,0.075,0.001,0,0.003
cfi.cor.obs.nonn_str.equal.one,0.503,0.111,0,0,0,0.507,0.106,0,0,0,0.544,0.109,0,0,0.003
cfi.cor.exp_str.equal.one,0.642,0.172,0.011,0.061,0.04,0.632,0.168,0.015,0.061,0.046,0.658,0.149,0.013,0.054,0.046
cfi.cor.exp.nonn_str.equal.one,0.498,0.099,0,0,0.001,0.493,0.091,0,0,0.006,0.493,0.086,0,0,0.007
cfi.cor.obs_unstr.equal.one,0.482,0.088,0,0,0,0.477,0.085,0,0,0,0.501,0.076,0,0,0
cfi.cor.obs.nonn_unstr.equal.one,0.475,0.085,0,0,0,0.466,0.079,0,0,0,0.47,0.075,0,0,0
,n=1000,,,,,,,,,,,,,,
Wm_str.pos.def,1,1,1,0.043,0,1,1,1,0.045,0,1,1,1,0.034,0
Wcm.obs_str.pos.def,1,1,1,0.043,0,1,1,1,0.045,0,1,1,1,0.033,0
Wcm.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wcm.obs_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wm_unstr.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WmB_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.obs_str.pos.def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WcmB.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983
fit.base.compos.def.implied,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983
fit.base.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.str.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fit.base.comp.mod.converge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_str.great.zero,1,1,1,1,0.982,1,1,1,1,0.973,1,1,1,1,0.977
kb.obs_str.great.zero,0.973,0.988,0.992,0.994,0.996,0.979,0.979,0.994,1,0.998,0.978,0.977,0.994,0.996,0.995
k.obs_str.k.less.kb,0.734,0.85,0.944,0.958,0.85,0.757,0.858,0.941,0.959,0.836,0.754,0.82,0.953,0.961,0.827
k.obs_str.k.less.chi,0.494,0.993,1,1,0.998,0.495,0.996,1,1,0.996,0.491,0.994,1,0.999,0.999
kb.obs_str.kb.less.chiB,1,0.999,1,1,1,0.999,1,1,1,1,0.999,1,1,1,1
k.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_str.k.less.kb,1,1,1,1,1,1,1,1,1,0.999,0.598,0.456,0.241,0.08,0.013
k.obs.nonn_str.k.less.chi,0.989,1,1,1,0.128,0.99,1,1,1,0.108,0.988,1,1,1,0.132
kb.obs.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp_str.great.zero,1,1,1,0.801,0.726,1,1,1,0.753,0.731,1,1,1,0.732,0.787
kb.exp_str.great.zero,0.54,0.483,0.493,0.55,0.543,0.545,0.461,0.485,0.544,0.532,0.533,0.49,0.459,0.551,0.548
k.exp_str.k.less.kb,0.513,0.444,0.429,0.484,0.483,0.505,0.416,0.425,0.472,0.46,0.516,0.448,0.39,0.488,0.46
k.exp_str.k.less.chi,1,1,1,0.418,0.617,1,1,1,0.463,0.595,1,1,1,0.576,0.526
kb.exp_str.kb.less.chiB,0.946,0.959,0.971,0.971,0.975,0.938,0.961,0.982,0.961,0.977,0.928,0.952,0.979,0.969,0.962
k.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.exp.nonn_str.k.less.kb,1,1,1,1,1,1,1,1,1,0.998,1,1,1,1,0.997
k.exp.nonn_str.k.less.chi,1,1,0.375,0.876,1,1,1,0.373,0.876,0.998,1,1,0.366,0.892,0.993
kb.exp.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.chi,1,0.494,0.992,1,1,1,0.491,0.995,1,1,1,0.479,0.992,1,1
kb.obs_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.chi,0.48,0.995,1,1,1,0.484,0.994,1,1,1,0.473,0.993,1,1,1
kb.obs.nonn_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cfi.obs_str.pass.5,0.383,0.843,0.944,0.958,0.832,0.371,0.855,0.941,0.959,0.809,0.374,0.814,0.953,0.961,0.805
cfi.obs.nonn_str.pass.5,0.989,1,1,1,0.128,0.99,1,1,1,0.108,0.591,0.456,0.241,0.08,0.004
cfi.exp_str.pass.5,0.459,0.403,0.4,0.111,0.16,0.443,0.377,0.407,0.094,0.132,0.444,0.4,0.369,0.153,0.14
cfi.exp.nonn_str.pass.5,1,1,0.375,0.876,1,1,1,0.373,0.876,0.998,1,1,0.366,0.892,0.993
cfi.obs_unstr.pass.5,1,0.494,0.992,1,1,1,0.491,0.995,1,1,1,0.479,0.992,1,1
cfi.obs.nonn_unstr.pass.5,0.48,0.995,1,1,1,0.484,0.994,1,1,1,0.473,0.993,1,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.028,0.05,0.044,0.028,0.029,0.023,0.052,0.035,0.036,0.032,0.03,0.05,0.028,0.034,0.038
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.499,0.017,0,0,0,0.5,0.01,0,0,0,0.503,0.011,0,0,0
cfi.uncor.fimlc.equal.one,0.004,0,0,0,0,0.017,0,0,0,0,0.019,0,0,0,0
cfi.cor.obs_str.equal.one,0.506,0.008,0,0,0.002,0.521,0.004,0,0,0.004,0.518,0.008,0,0.001,0.001
cfi.cor.obs.nonn_str.equal.one,0.507,0.011,0,0,0,0.535,0.005,0,0,0,0.53,0.009,0,0,0
cfi.cor.exp_str.equal.one,0.579,0.013,0,0.05,0.023,0.596,0.006,0,0.038,0.041,0.583,0.011,0,0.034,0.021
cfi.cor.exp.nonn_str.equal.one,0.51,0.009,0,0,0,0.526,0.004,0,0,0,0.516,0.008,0,0,0.002
cfi.cor.obs_unstr.equal.one,0.506,0.008,0,0,0,0.522,0.004,0,0,0,0.519,0.008,0,0,0
cfi.cor.obs.nonn_unstr.equal.one,0.499,0.007,0,0,0,0.516,0.003,0,0,0,0.51,0.007,0,0,0