"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"Wm.unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_str.pos.def",0.997,0.99,0.792,0.017,0,0.93,0.868,0.51,0.009,0
"WcB_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"WcB_str.pos.def",0,0,0,0,0,0,0,0,0,0
"fit1.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.converge",1,1,1,1,1,1,1,1,1,1
"fit2.converge",1,1,1,1,1,1,1,1,1,1
"fit1B.converge",1,1,1,1,1,1,1,1,1,1
"fit2B.converge",1,1,1,1,1,1,1,1,1,1
"c.str.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.str.great.zero",0.981,0.978,0.97,0.973,0.942,0.981,0.972,0.946,0.947,0.932
"c.str.c.less.kb",0.558,0.483,0.394,0.335,0.256,0.404,0.328,0.247,0.223,0.181
"c.str.c.less.chi",0.761,1,0.347,0.994,1,0.722,1,0.378,0.972,1
"cB.str.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"c.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.kb",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.chi",0.573,1,1,0.854,1,0.597,0.997,1,0.794,1
"cB.unstr.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"cfi.str.pass.5",0.428,0.483,0.137,0.334,0.256,0.303,0.328,0.09,0.217,0.181
"cfi.unstr.pass.5",0.573,1,1,0.854,1,0.597,0.997,1,0.794,1
"cfi.fiml.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.uncor.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.str.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.unstr.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.fiml.equal.one",0.444,0.149,0,0,0,0.413,0.191,0.004,0,0
"cfi.uncor.equal.one",0.294,0.079,0,0,0,0.052,0.017,0,0,0
"cfi.cor.str.equal.one",0.559,0.221,0.002,0,0,0.495,0.276,0.014,0,0
"cfi.cor.unstr.equal.one",0.449,0.144,0.001,0,0,0.407,0.186,0.006,0,0
"Wm.unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_str.pos.def",1,1,1,0.031,0,1,1,0.98,0.041,0
"WcB_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"WcB_str.pos.def",0,0,0,0,0,0,0,0,0,0
"fit1.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.converge",1,1,1,1,1,1,1,1,1,1
"fit2.converge",1,1,1,1,1,1,1,1,1,1
"fit1B.converge",1,1,1,1,1,1,1,1,1,1
"fit2B.converge",1,1,1,1,1,1,1,1,1,1
"c.str.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.str.great.zero",1,1,1,1,0.998,1,0.999,0.999,0.997,0.991
"c.str.c.less.kb",0.651,0.558,0.452,0.301,0.157,0.411,0.319,0.228,0.151,0.061
"c.str.c.less.chi",0.966,1,0.349,1,1,0.915,1,0.333,1,1
"cB.str.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"c.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.kb",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.chi",0.481,1,1,0.974,1,0.504,1,1,0.947,1
"cB.unstr.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"cfi.str.pass.5",0.632,0.558,0.151,0.301,0.157,0.371,0.319,0.085,0.151,0.061
"cfi.unstr.pass.5",0.481,1,1,0.974,1,0.504,1,1,0.947,1
"cfi.fiml.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.uncor.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.str.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.unstr.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.fiml.equal.one",0.491,0.027,0,0,0,0.489,0.051,0,0,0
"cfi.uncor.equal.one",0.328,0.012,0,0,0,0.076,0.003,0,0,0
"cfi.cor.str.equal.one",0.536,0.032,0,0,0,0.53,0.072,0,0,0
"cfi.cor.unstr.equal.one",0.494,0.025,0,0,0,0.489,0.056,0,0,0
"Wm.unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"Wc_str.pos.def",1,1,1,0.052,0,1,1,1,0.053,0
"WcB_unstr.pos.def",1,1,1,1,1,1,1,1,1,1
"WcB_str.pos.def",0,0,0,0,0,0,0,0,0,0
"fit1.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.imp.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.vcov.pos.def",1,1,1,1,0.888,1,1,1,1,1
"fit2.vcov.pos.def",1,1,1,1,0.816,1,1,1,1,0.76
"fit1B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit2B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1
"fit1.converge",1,1,1,1,1,1,1,1,1,1
"fit2.converge",1,1,1,1,1,1,1,1,1,1
"fit1B.converge",1,1,1,1,1,1,1,1,1,1
"fit2B.converge",1,1,1,1,1,1,1,1,1,1
"c.str.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.str.great.zero",1,1,1,1,0.998,1,1,1,1,1
"c.str.c.less.kb",0.767,0.614,0.46,0.266,0.083,0.463,0.313,0.154,0.066,0.019
"c.str.c.less.chi",0.999,1,0.341,1,1,0.998,1,0.321,1,1
"cB.str.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"c.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"cB.unstr.great.zero",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.kb",1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.chi",0.506,1,1,1,1,0.503,1,1,0.998,1
"cB.unstr.cB.less.chiB",1,1,1,1,1,1,1,1,1,1
"cfi.str.pass.5",0.766,0.614,0.149,0.266,0.083,0.462,0.313,0.041,0.066,0.019
"cfi.unstr.pass.5",0.506,1,1,1,1,0.503,1,1,0.998,1
"cfi.fiml.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.uncor.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.str.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.cor.unstr.equal.zero",0,0,0,0,0,0,0,0,0,0
"cfi.fiml.equal.one",0.529,0,0,0,0,0.528,0.001,0,0,0
"cfi.uncor.equal.one",0.369,0,0,0,0,0.071,0,0,0,0
"cfi.cor.str.equal.one",0.553,0,0,0,0,0.552,0.003,0,0,0
"cfi.cor.unstr.equal.one",0.538,0,0,0,0,0.541,0.002,0,0,0
